Firm	Plan Type	Account Size	Drawdown Type	Activation Fee	Profit Target	Max Drawdown	Max Contract	Consistency Rule Eval, Funded	Payout Freq.	Profit Split	Price	Promo CODE	Account Category	Min Trading Days	Daily Drawdown	News Trading	List Price	Discount %	Price Note
FundedNext	Legacy	100k	EOD	None	$6,000	$3,000	5 (50 micros)	40% / None	5 days (Weekly; bench ≥$200; 50% profits max $6,000 before 30 days; 100% after)	80%	$215.99	KAGE	Challenge	None	None	both	$239.99	10	
FundedNext	Flex	50k	EOD	None	$2,500	$1,500	3 (30 micros)	40% / None	5 days (Weekly; bench ≥$200; 50% profits max $1,500 before 30 days; Live after 5 payouts)	95%	$60.30	KAGE	Challenge	None	None	both	$133.99	55	
FundedNext	Flex	100k	EOD	None	$5,000	$2,500	5 (50 micros)	40% / None	5 days (Weekly; bench ≥$200; 50% profits max $2,500 before 30 days; Live after 5 payouts)	95%	$112.50	KAGE	Challenge	None	None	both	$249.99	55	
FundedNext	Flex	150k	EOD	None	$8,000	$4,000	8 (80 micros)	40% / None	5 days (Weekly; bench ≥$250; 50% profits max $4,000 before 30 days; Live after 5 payouts)	95%	$217.80	KAGE	Challenge	None	None	both	$483.99	55	
FundedNext	Rapid Pro	25k	EOD	None	$1,500	$1,000	2 (10 micros)	None / 40%	On request (min profit/cycle $500; max $800; conclude after 5)	90%	$79.99	KAGE	Challenge	None	None	both	$159.98	50	
FundedNext	Rapid Pro	50k	EOD	None	$3,000	$2,000	4 (40 micros)	None / 40%	On request (min profit/cycle $500; max $1,200; conclude after 5)	90%	$149.99	KAGE	Challenge	None	None	both	$299.98	50	
FundedNext	Rapid Pro	100k	EOD	None	$5,000	$2,500	6 (60 micros)	None / 40%	On request (min profit/cycle $500; max $2,500; conclude after 5)	90%	$249.99	KAGE	Challenge	None	None	both	$499.98	50	
FundedNext	Rapid Daily	25k	EOD (DLL $500 eval)	None	$1,500	$1,000	2 (10 micros)	None / None	Daily (above buffer $26,100; min profit/cycle $500; max $800; conclude after 5)	90%	$79.99	KAGE	Challenge	None	None	both	$159.98	50	
FundedNext	Rapid Daily	50k	EOD (DLL $1,000 eval)	None	$3,000	$2,000	4 (40 micros)	None / None	Daily (above buffer $52,100; min profit/cycle $500; max $1,200; conclude after 5)	90%	$149.99	KAGE	Challenge	None	None	both	$299.98	50	
FundedNext	Rapid Daily	100k	EOD (DLL $1,250 eval)	None	$5,000	$2,500	6 (60 micros)	None / None	Daily (above buffer $102,600; min profit/cycle $500; max $2,500; conclude after 5)	90%	$249.99	KAGE	Challenge	None	None	both	$499.98	50	
IQ Capital	Instant DLL	50k	EOD	None	None	$2,000	5 / 50	None / 30%	Every 10 Days	90%	$349	KAGE	S2F	None	$1,000	both	$1745	80	
IQ Capital	Core DLL	50k	EOD	None	$3,000	$2,000	5 / 50	None / 30%	Every 10 Days	90%	$178	KAGE	Challenge	None	$1,000	both	$374	80	
IQ Capital	Rapid	50k	EOD	None	$3,000	$2,000	5 / 50	40% / None	Every 3 Days	80%	$135	KAGE	Challenge	3	$1,000	both	$675	80	
IQ Capital	Instant	50k	EOD	None	None	$3,000	5 / 50	None / 30%	Every 10 Days	90%	$349	KAGE	S2F	None	None	both	$1745	80	
IQ Capital	Core	50k	EOD	None	$3,000	$3,000	5 / 50	None / 30%	Every 10 Days	90%	$178	KAGE	Challenge	None	None	both	$374	80	
IQ Capital	Core	100k	EOD	None	$6,000	$6,000	10 / 100	None / 30%	Every 10 Days	90%	$244	KAGE	Challenge	None	None	both	$624	80	
IQ Capital	Core DLL	100k	EOD	None	$6,000	$3,000	10 / 100	None / 30%	Every 10 Days	90%	$244	KAGE	Challenge	None	$1,500	both	$624	80	
IQ Capital	Rapid	100k	EOD	None	$6,000	$3,000	10 / 100	40% / None	Every 3 Days	80%	$225	KAGE	Challenge	3	$1,500	both	$1125	80	
IQ Capital	Instant	100k	EOD	None	None	$5,000	10 / 100	None / 30%	Every 10 Days	90%	$699	KAGE	S2F	None	None	both	$3495	80	
Topstep	Standard — Standard Path	50k	EOD	None	$3,000	$2,000	5 / 50	50%	Every 5 Days	90%	$198	KAGE	Challenge	2	None	both			
Topstep	Standard — Consistency Path	50k	EOD	None	$3,000	$2,000	5 / 50	50%	Every 5 Days	90%	$198	KAGE	Challenge	2	None	both			
Topstep	No Activation Fee — Standard Path	50k	EOD	None	$3,000	$2,000	5 / 50	50%	Every 5 Days	90%	$109	KAGE	Challenge	2	None	both			
Topstep	No Activation Fee — Consistency Path	50k	EOD	None	$3,000	$2,000	5 / 50	50%	Every 5 Days	90%	$109	KAGE	Challenge	2	None	both			
Topstep	No Activation Fee — Standard Path	100k	EOD	None	$6,000	$3,000	10 / 100	50%	Every 5 Days	90%	$159	KAGE	Challenge	2	None	both			
Topstep	No Activation Fee — Consistency Path	100k	EOD	None	$6,000	$3,000	10 / 100	50%	Every 5 Days	90%	$159	KAGE	Challenge	2	None	both			
Topstep	Standard — Standard Path	100k	EOD	None	$6,000	$3,000	10 / 100	50%	Every 5 Days	90%	$248	KAGE	Challenge	2	None	both			
Topstep	Standard — Consistency Path	100k	EOD	None	$6,000	$3,000	10 / 100	50%	Every 5 Days	90%	$248	KAGE	Challenge	2	None	both			
Topstep	Standard — Standard Path	150k	EOD	None	$9,000	$4,500	15 / 150	50%	Every 5 Days	90%	$298	KAGE	Challenge	2	None	both			
Topstep	Standard — Consistency Path	150k	EOD	None	$9,000	$4,500	15 / 150	50%	Every 5 Days	90%	$298	KAGE	Challenge	2	None	both			
Topstep	No Activation Fee — Standard Path	150k	EOD	None	$9,000	$4,500	15 / 150	50%	Every 5 Days	90%	$209	KAGE	Challenge	2	None	both			
Topstep	No Activation Fee — Consistency Path	150k	EOD	None	$9,000	$4,500	15 / 150	50%	Every 5 Days	90%	$209	KAGE	Challenge	2	None	both			
Traders Launch	55% Split NYC	100k	EOD	None	$2,000	$800	0 / 5	40% / None	Every 1 Day	55%	$49 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	80% Split 22-Hour	100k	EOD	None	$2,000	$1,000	2 / 20	40% / None	Every 1 Day	80%	$159 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	80% Split NYC	100k	EOD	None	$2,000	$800	0 / 5	40% / None	Every 1 Day	80%	$99 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	55% Split 22-Hour	100k	EOD	None	$2,000	$1,000	2 / 20	40% / None	Every 1 Day	55%	$79 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	55% Split 22-Hour	200k	EOD	None	$4,000	$2,000	4 / 40	40% / None	Every 1 Day	55%	$149 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	80% Split 22-Hour	200k	EOD	None	$4,000	$2,000	4 / 40	40% / None	Every 1 Day	80%	$299 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	55% Split NYC	200k	EOD	None	$3,000	$1,000	1 / 10	40% / None	Every 1 Day	55%	$74 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	80% Split NYC	200k	EOD	None	$3,000	$1,000	1 / 10	40% / None	Every 1 Day	80%	$149 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	80% Split 22-Hour	300k	EOD	None	$6,000	$3,000	6 / 60	40% / None	Every 1 Day	80%	$599 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	55% Split NYC	300k	EOD	None	$5,000	$2,000	2 / 20	40% / None	Every 1 Day	55%	$139 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	55% Split 22-Hour	300k	EOD	None	$6,000	$3,000	6 / 60	40% / None	Every 1 Day	55%	$299 (monthly)	KAGE	Challenge	3	None	both			
Traders Launch	80% Split NYC	300k	EOD	None	$5,000	$2,000	2 / 20	40% / None	Every 1 Day	80%	$279 (monthly)	KAGE	Challenge	3	None	both			
